study,year,citation,location,sample_age,sample_sex,dataset,study_n,sub_n,description,related_publications,pub_doi,sss,preload_used,variety,ed_manipulation,ps_manipulation,volume_manipulation,fat_manipulation,food_form,microstructure,eating_disorder,weight_loss,obesity,social_context,age,sex,race_ethnicity,ses,bmi,recall_intake,measured_intake,pre_post_meal_q,cho_intake,fat_intake,pro_intake,fiber_intake,satfat_intake,sodium_intake,food_preference,eat_duration,substance_use,current_status_q,zung,eat,edi,ei,beck,bsq,qewp-r,debq,pfs,tfeq,rise-q,cfq,aebq,cebq,upsit,birth_control,menstrual_cycle
whole_vs_parts,1988,"Rolls, Barbara J., Pearce, Alaina L., (2026) Whole versus Parts 1988 [Dataset]. ScholarSphere.",Johns Hopkins,adult,mixed,whole_vs_parts,52,,"These data are from a study that included two counterbalanced visits and a follow-up discharge session. The counterbalanced condition was whether participants were served the sandwiches as whole units or cut into pieces. Participants included men and women without overweight or obesity who were not dieting. Visits were conducted at approximately 11:30 in the morning. Participants were given visual analog (VAS) scales to rate their hunger, thirst, fullness, desire to eat, and how much they thought they could eat (i.e., prospective consumption). They were then asked to rate the pleasantness of the taste and their desire to eat a sample of a ham and Swiss cheese sandwich with lettuce and mustard on rye bread. Participants were then presented with either four whole ham and Swiss cheese sandwiches on rye bread (held together with toothpicks) or the same sandwiches cut into nine small squares, each held together with a toothpick. They were also given a 550 g glass of cold water and a timer. They were told to eat as much as they wanted within 20 minutes and to ask for more if they desired. They were not allowed to read, do any work, or socialize during this time. All VAS ratings were repeated after the participants finished eating the sandwiches. Total intake was computed by weight the sandwiches and water before and after the meal. ",,,0,0,,,,,,,0,0,,,0,0,1,0,0,0,,1,1,1,1,1,,,,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,
sociofeed_dannys_dinner,1990,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Sociofeed: Danny's Dinner 1990 [Dataset]. ScholarSphere.",Johns Hopkins,adult,mixed,sociofeed,80,,"These data are from a study that included two counterbalanced visits. The counterbalanced condition was whether participants ate a meal alone or with three other individuals matched on gender and eating restraint. For the group condition, it was randomly assigned whether the other individuals were known friends or strangers. Participants completed the Eating Inventory and were categorized as restrained or unrestrained eaters. Participants included men and women without overweight or obesity who were not dieting. Visits were conducted at dinner. Participants were given visual analog scales (VAS) before and after eating to rate their current mood, arousal state, hunger, thirst, fullness, and how much they thought they could eat (i.e., prospective consumption). Participants were then presented with a spaghetti meal and water. They were told to eat as much as they wanted within 40 minutes and to ask for more if desired. Total intake was computed by weighing the food and water before and after the meal. ","Oral Presentation: Shide, David J. & Rolls, Barbara J. (1995) Social Facilitation of Caloric Intake in Humans by Friends, But Not by Strangers. Society for the Study of Ingestive Behavior",,0,0,,,,,,,0,0,,,1,1,1,0,0,0,,1,1,1,1,1,,,,0,0,0,0,,0,0,0,,0,,,,,,,,,0,,
sss_yogurt,1990,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Yogurt SSS by Age 1990 [Dataset]. ScholarSphere.",Johns Hopkins,adult,mixed,sss_yogurt,96,,"The goal of this study was to examine the role of age on sensory-specific satiety. These data are from a study that included two visits. Participants varied in age across four different age groups. At each visit, participants completed visual analog scales (VAS) to report their current state (e.g., hunger, thirst, nausea, fullness, and how much they thought they could eat (i.e., prospective consumption)) before and after eating. Participants were served two different amounts of yogurt, with the amount served at each visit counterbalanced across participants. Participants were also asked to taste a series of foods and use a VAS to rate pleasantness of food attributes before and after eating the yogurt. ","Rolls, Barbara J., and Teresa M. McDermott. ""Effects of age on sensory-specific satiety."" The American journal of clinical nutrition 54, no. 6 (1991): 988-996.",https://doi.org/10.1093/ajcn/54.6.988,1,0,,,,,,,0,0,,,0,1,1,0,0,0,,1,0,1,1,1,,,,0,1,0,0,1,1,,1,,,,,,,,,,,1,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,demo_data,174,,These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. This data includes demographic information. ,,,0,0,,,,,,,0,1,,,0,1,0,,,1,,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,questionnaire,,111,These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. This data includes questionnaire responses. ,,,0,0,,,,,,,0,1,,,0,,0,,,0,,0,0,,,,,,,0,0,0,0,1,1,1,1,,1,,,,,,,,,1,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,cafeteria,,44,"These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. All participants completed questionnaires, ratings, and a cafeteria meal. All study sessions were completed at lunchtime. Participants were given visual analog scales (VAS) before and after eating the cafeteria meal to rate their current mood, arousal state, hunger, thirst, fullness, and how much they thought they could eat (i.e., prospective consumption). Participants were then able to choose meal foods from the cafeteria and consumed the meal with a clinician, who also ate. Inpatient participants completed the sessions before and after treatment, while control participants completed the session twice, separated by a few weeks. ","Andersen AE, Stoner SA, Rolls BJ. Improved eating behavior in eating?disordered inpatients after treatment: Documentation in a naturalistic setting. International Journal of Eating Disorders. 1996 Dec;20(4):397-403.",https://doi.org/10.1002/(SICI)1098-108X(199612)20:4%3C397::AID-EAT7%3E3.0.CO;2-I,0,0,,,,,,,0,1,,,1,,0,,,0,,1,1,1,1,1,,,,0,1,0,0,0,1,1,1,,,,,,,,,,,1,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,food preference,,70,These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. All participants completed a questionnaire at admission and discharge reporting how much they liked and wanted to eat 50 different foods. ,"Stoner SA, Fedoroff IC, Andersen AE, Rolls BJ. Food preferences and desire to eat in anorexia and bulimia nervosa. International Journal of Eating Disorders. 1996 Jan;19(1):13-22.",https://doi.org/10.1002/(SICI)1098-108X(199601)19:1%3C13::AID-EAT3%3E3.0.CO;2-Z,0,0,,,,,,,0,1,,,0,,0,,,0,,0,0,,,,,,,1,0,0,0,0,0,0,1,,,,,,,,,,,1,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,smell,,71,These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. Participants self-reported smoking status and history in addition to completing two smell tests: 1) an olfactory detection threshold test and 2) the University of Pennsylvania Smell Identification Test (UPSIT). These tests were completed at admission and discharge for inpatient participants. ,"Fedoroff IC, Stoner SA, Andersen AE, Doty RL, Rolls BJ. Olfactory dysfunction in anorexia and bulimia nervosa. International Journal of Eating Disorders. 1995 Jul;18(1):71-7.",https://doi.org/10.1002/1098-108X(199507)18:1%3C71::AID-EAT2260180108%3E3.0.CO;2-5,0,0,,,,,,,0,1,,,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,1,0,,,,,,,,,,,,,,,1,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,vas hourly,,40,"These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. Participants self-reported their current state (hunger, thirst, binge and purge desire, fear of being fat, anxiety, and depression) on an hourly basis from 8:00 a.m. to 10:00 p.m. and before and after each meal. Tests were completed weekly on Fridays, starting with the first Friday after admission. ",,,0,0,,,,,,,0,1,,,0,,0,,,0,,0,1,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,
eatdis,1991,"Rolls, Barbara J., & Pearce, Alaina L. (2026) Eating Disorders Studies 1991 [Dataset]. ScholarSphere.",Johns Hopkins,adult,female,yogurt,,27,"These data are from inpatients from the Johns Hopkins Hospital Eating Disorder Unit and control participants from the surrounding community. Participants completed three sessions in counterbalanced order on alternating days of the first week of their hospital admission. During each session, participants received one of three yogurt preloads for lunch: high fat, high carbohydrate, or low fat/low carbohydrate. Participants rated their current state including hunger, fullness, desire to eat, how much they thought they could eat (i.e., prospective consumption), bloatedness, fear of becoming fat, desire to binge and purge, alertness, guilt, depression, contentment, and nausea before and after the yogurt preload, before and after dinner, and every 60 minutes between the preload and dinner (four times). ","Rolls BJ, Hetherington MM, Stoner SA, Andersen AE. Effects of preloads of differing energy and macronutrient content on eating behavior in bulimia nervosa. Appetite. 1997 Dec 1;29(3):353-67.",https://doi.org/10.1006/appe.1997.0103,0,1,,,,,,,0,1,,,0,,0,,,0,,1,0,1,1,1,,,,0,1,0,0,1,1,,1,,1,,,,,,,,,,,
